name,1-SSU,2-SSU,3-SSU,4-SSU,85-SSU,97-SSU,71-SSU,62-SSU,48-SSU,53-SSU,65-SSU,60-SSU,67-SSU,90-SSU,96-SSU,98-SSU,106-SSU,79-SSU
Aspergillus flavus,0,0,1,0,0,0,0,0,2,5,0,0,0,0,0,0,0,0
Penicillium commune::Aspergillus sp,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0
Pichia nakazawae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Thermomyces lanuginosus,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Malassezia restricta,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rhodotorula samaneae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
Penicillium janthinellum::Aspergillus sp::Penicillium sp::Eupenicillium javanicum,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
Penicillium janthinellum::Penicillium sp,0,0,0,0,0,0,0,0,1,10,0,0,0,0,0,0,0,0
Penicillium commune::Penicillium chrysogenum,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Occultifur externus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Penicillium commune::Eupenicillium crustaceum::Penicillium expansum::Penicillium camemberti,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
Aspergillus oryzae,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
Aspergillus awamori::Aspergillus sp::Aspergillus niger,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0
Acremonium alternatum,0,0,1,0,2,0,0,0,0,0,0,0,0,1,2,0,0,0
Penicillium lagena,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Eupenicillium crustaceum::Penicillium expansum::Penicillium camemberti::Penicillium commune,0,0,15,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Penicillium sp::Aspergillus sp,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Aspergillus fumigatus::Penicillium janthinellum::Penicillium sp::Eupenicillium javanicum,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0
Aspergillus fumigatus::Penicillium sp,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0
Monascus fuliginosus::Penicillium janthinellum::Penicillium sp::Eupenicillium javanicum,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Neosartorya fischeri,0,0,0,0,0,3,0,0,1,18,0,0,0,0,0,0,0,0
